a,b,c,d,e,f,g,h,i,j
0.4234422190090821,0.055015748560549915,0.2732104027247215,0.8509199872737618,0.4666572135525955,0.4844007519187762,0.7738705353748512,0.26285882161971186,0.2773636076405137,0.6466918767395986
0.5474417901058644,0.6590306111490511,0.3584719031179622,0.28861111322383814,0.7612328414320944,0.2478025341282899,0.013100416273488236,0.42929725259141616,0.9376343121100114,0.39944615954040574
0.020188952862489673,0.9524165329530857,0.8204925585691221,0.42248562744733176,0.5499947950531832,0.009257085950256094,0.09993833194373591,0.18608812167239508,0.18304470368487635,0.5009408266638359
0.664622740566208,0.663096170306556,0.8083554505060606,0.4928161532577996,0.37610175307307714,0.5674236244807007,0.26833302544762094,0.5325747283315262,0.016729079510915512,0.20852920501723404
0.6155381739700955,0.5879150506948644,0.5094301708730864,0.036512272957459846,0.28401833182066116,0.21950337649476837,0.3695094866500209,0.7045521593211742,0.599184087716359,0.864515009940997
0.8066115655491528,0.4501494753786426,0.05077640202148004,0.7401419444354173,0.072529364548088,0.975894958744926,0.5889373832287419,0.27570025666214915,0.09352362331705066,0.9419090553414496
0.7332767035796037,0.555923574078997,0.48661154060277223,0.5636091631948675,0.9355190100633836,0.7868630635633477,0.758305247811205,0.841329744860938,0.2959789623092294,0.8048639410741653
0.7800580676553757,0.8066991408616035,0.48871163311232146,0.07783812896348674,0.7565742532792873,0.7894561666575458,0.71315281138253,0.33613406100889676,0.6281401069460637,0.73700815825956
0.7513566896910208,0.5777030267242875,0.12475090794948562,0.7867445239915271,0.6624014221205061,0.8804052357627921,0.7497955918843707,0.38762797602136845,0.2739605416790287,0.6693633131834434
0.5142044445144681,0.10704059745573646,0.06147922792202454,0.4768032870700991,0.43135989174621603,0.06576733378739907,0.4911131060809142,0.5331358857770715,0.6816748772499462,0.9868721249405561
